Job_Title,Company_Title,Company_Slogan,Job_Type,Location,Work_Location,Industry,Employes_Count,Posted_Ago,Job_Link
"US Business Development Representative (Austin, TX)",Sunstice,Supply Chain Planning and RGM software for global organizations.,Permanent contract,Austin,A few days at home,Supply Chain Planning and RGM software for global organizations.,120,2 days ago,https://www.welcometothejungle.com/en/companies/futurmaster/jobs/us-business-development-representative-austin-tx_austin
Business Development Representative,Brevo,Customer Relationship Management (CRM) for global organizations.,Permanent contract,Austin,A few days at home,"SaaS / Cloud Services, Marketing / Communications",950,5 days ago,https://www.welcometothejungle.com/en/companies/sendinblue/jobs/business-development-representative_austin_BREVO_p5XRJZj
Service Business Manager,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Chesterton,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,5 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/service-business-manager_dunton
"VP, Business Development - Florida",Descartes Underwriting,Parametric insurance for climate and emerging risks.,Permanent contract,Tallahassee,Fully-remote,Parametric insurance for climate and emerging risks.,250,9 days ago,https://www.welcometothejungle.com/en/companies/descartesunderwriting/jobs/vp-business-development-florida_florida
"Junior Business Scientist, Data Science and Marketing Effectiveness",Ekimetrics,Solutions d'IA pour une performance business durable.,Permanent contract,New York,A few days at home,"IT / Digital, Strategy",500,9 days ago,https://www.welcometothejungle.com/en/companies/ekimetrics/jobs/junior-business-scientist-data-science-and-marketing-effectiveness_new-york
"Sales and Business Development Manager, ESS",Socomec,Équipements électriques pour la continuité et l'optimisation de l'énergie.,Permanent contract,Watertown,,,4400,10 days ago,https://www.welcometothejungle.com/en/companies/socomec/jobs/sales-and-business-development-manager-ess_watertown
VIE Business Development - North America,Metroscope,AI solutions for efficient and sustainable industrial asset management.,,Alexandria,,"Software, Artificial Intelligence / Machine Learning",55,17 days ago,https://www.welcometothejungle.com/en/companies/metroscope/jobs/vie-business-development-north-america_alexandria
Director of Global Business Development,Botify,AI-powered platform for optimizing organic search and performance marketing.,Permanent contract,New York,A few days at home,AI-powered platform for optimizing organic search and performance marketing.,150,16 days ago,https://www.welcometothejungle.com/en/companies/botify/jobs/director-of-global-business-development_new-york
"AVP, Business Development - Florida",Descartes Underwriting,Parametric insurance for climate and emerging risks.,Permanent contract,Tallahassee,Fully-remote,Parametric insurance for climate and emerging risks.,250,19 days ago,https://www.welcometothejungle.com/en/companies/descartesunderwriting/jobs/avp-or-vp-business-development_florida
"Senior Human Resources Business Partner, Southern Region",Hermès,Objets de luxe artisanaux et créatifs.,Permanent contract,Miami,,"Luxury, Selective Distribution",26494,21 days ago,https://www.welcometothejungle.com/en/companies/hermes/jobs/senior-human-resources-business-partner-southern-region_miami_HERMS_w72PjWZ
"Business Development Specialist, Power Monitoring",Socomec,Équipements électriques pour la continuité et l'optimisation de l'énergie.,Permanent contract,Watertown,,,4400,22 days ago,https://www.welcometothejungle.com/en/companies/socomec/jobs/business-developer-power-monitoring_watertown
Senior Sales Executive – B2B New Business Acquisition,Frenchfounders,Club de décideurs et dirigeants francophones pour l'intermédiation business.,Permanent contract,New York,,,65,22 days ago,https://www.welcometothejungle.com/en/companies/frenchfounders/jobs/senior-account-executive-b2b-new-business_new-york
"Director - Human Resources Business Partner, West Region",Hermès,Objets de luxe artisanaux et créatifs.,Permanent contract,Beverly Hills,,"Luxury, Selective Distribution",26494,,https://www.welcometothejungle.com/en/companies/hermes/jobs/director-human-resources-business-partner-west-region_beverly-hills_HERMS_KxaKJN0
Business Development Manager - Strategic Accounts (Eastern US),Implicity,AI-driven platform for remote cardiac monitoring and patient management.,Permanent contract,New York,A few days at home,"Software, Artificial Intelligence / Machine Learning",100,,https://www.welcometothejungle.com/en/companies/implicity/jobs/business-development-manager-strategic-accounts-eastern-us_new-york
Business Transformation Senior Advisor,Dataiku,The Universal AI Platform for managing and building AI initiatives.,Permanent contract,New York,Fully-remote,"Software, Artificial Intelligence / Machine Learning",1000,,https://www.welcometothejungle.com/en/companies/dataiku/jobs/business-transformation-senior-advisor_new-york
Legal Tech & Ops Associate (IP & Licensing Business),Mistral Ai,Modèles d'IA ouverts et accessibles pour l'innovation générative.,Permanent contract,Palo Alto,No remote work,"Artificial Intelligence / Machine Learning, IT / Digital",280,,https://www.welcometothejungle.com/en/companies/mistral-ai/jobs/legal-tech-associate-ip-licensing-business_palo-alto
VIE - Business Development USA (H/F),Tessan,Solutions de télémédecine pour rendre la santé accessible à tous.,Permanent contract,New York,A few days at home,"Software, SaaS / Cloud Services",104,,https://www.welcometothejungle.com/en/companies/tessan/jobs/vie-business-development-usa-h-f_new-york
Business Development Representative - US,Qevlar AI,AI-powered SaaS for operational cybersecurity teams,Permanent contract,New York,A few days at home,AI-powered SaaS for operational cybersecurity teams,40,,https://www.welcometothejungle.com/en/companies/qevlar-ai/jobs/business-development-representative-us_new-york
Senior Director - Client Development,Hermès,Objets de luxe artisanaux et créatifs.,Permanent contract,New York,,"Luxury, Selective Distribution",26494,3 days ago,https://www.welcometothejungle.com/en/companies/hermes/jobs/senior-director-client-development_new-york_HERMS_VQ2o5lk
"Client Development Manager - East Coast, MRTW & MTM",Hermès,Objets de luxe artisanaux et créatifs.,Permanent contract,Manhattan,,"Luxury, Selective Distribution",26494,4 days ago,https://www.welcometothejungle.com/en/companies/hermes/jobs/client-development-manager-east-coast-mrtw-mtm_manhattan_HERMS_wbzPRWx
OEM Trade Parts BDM,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Dallas,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,3 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/oem-trade-parts-bdm_dallas
FSR+ Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Southfield,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,5 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/implementation-specialist_port
US Artists Coach - Groover Club (Freelance),Groover,Music promotion platform for independent artists and professionals.,Freelance,New York,Fully-remote,,35,10 days ago,https://www.welcometothejungle.com/en/companies/groover/jobs/us-artists-coach-groover-club-freelance_new-york
"Senior Director, DSP Commercial Partnerships",Equativ,Advertising monetization platform for major websites.,Permanent contract,New York,A few days at home,,700,16 days ago,https://www.welcometothejungle.com/en/companies/equativ/jobs/senior-director-dsp-commercial-partnerships_new-york
"Senior Director, Partnerships (Commercial)",Equativ,Advertising monetization platform for major websites.,Permanent contract,New York,A few days at home,,700,16 days ago,https://www.welcometothejungle.com/en/companies/equativ/jobs/senior-director-partnerships-commercial_new-york
FSR+ Coach Washington Region,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Southfield,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,19 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/fsr-coach-washington-region_southfield
US Analyst Technology Coverage,Crédit Agricole CIB,Banque de financement et d'investissement pour grandes entreprises et institutions.,,San Francisco,,Banque de financement et d'investissement pour grandes entreprises et institutions.,10400,,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/us-analyst-technology-coverage_san-francisco
Competitive Intelligence Manager,Dataiku,The Universal AI Platform for managing and building AI initiatives.,Permanent contract,New York,No remote work,"Software, Artificial Intelligence / Machine Learning",1000,,https://www.welcometothejungle.com/en/companies/dataiku/jobs/competitive-intelligence-manager_new-york
Lead Analytics Consultant,Kraken,Éditeur de logiciel pour énergies renouvelables.,Permanent contract,New York,A few days at home,"Environment / Sustainable Development, SaaS / Cloud Services",1828,,https://www.welcometothejungle.com/en/companies/kraken/jobs/senior-client-data-analytics-lead_new-york
Mobile Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Cleveland,,Mobile Service Coach,420,,https://www.welcometothejungle.com/en/companies/msx-international/jobs/mobile-service-coach_cleveland
Mobile Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,San Francisco,,Mobile Service Coach,420,,https://www.welcometothejungle.com/en/companies/msx-international/jobs/mobile-service-coach_las-vegas
Mobile Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Denver,,Mobile Service Coach,420,,https://www.welcometothejungle.com/en/companies/msx-international/jobs/mobile-service-coach_denver
Mobile Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Los Angeles,,Mobile Service Coach,420,,https://www.welcometothejungle.com/en/companies/msx-international/jobs/mobile-service-coach_washington
Mobile Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Atlanta,,Mobile Service Coach,420,,https://www.welcometothejungle.com/en/companies/msx-international/jobs/mobile-service-coach_atlanta
Mobile Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Miami,,Mobile Service Coach,420,,https://www.welcometothejungle.com/en/companies/msx-international/jobs/mobile-service-coach_southfield_MI_54XX7a2
Mobile Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Dallas,,Mobile Service Coach,420,,https://www.welcometothejungle.com/en/companies/msx-international/jobs/mobile-service-coach_southfield_MI_mROMd9w
Mobile Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Tampa,,Mobile Service Coach,420,,https://www.welcometothejungle.com/en/companies/msx-international/jobs/mobile-service-coach_southfield_MI_jNJ6b5N
Mobile Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,,,Mobile Service Coach,420,,https://www.welcometothejungle.com/en/companies/msx-international/jobs/mobile-service-coach_southfield
US Analyst Summer Internship - Energy and Real Assets,Crédit Agricole CIB,Banque de financement et d'investissement pour grandes entreprises et institutions.,Internship,New York,,US Analyst Summer Internship - Energy and Real Assets,10400,,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/us-analyst-summer-internship-energy-and-real-assets_new-york
V.I.E. Financial Analyst,Société Générale,Banque pour le développement du commerce et de l'industrie.,,New York,A few days at home,"Banking, FinTech / InsurTech",110000,1 days ago,https://www.welcometothejungle.com/en/companies/societe-generale/jobs/v-i-e-financial-analyst_new-york
Agent Général d'Assurance (F/H) - Indépendant - Dpt 02 AISNE,AXA,Leader mondial de l'assurance et de la gestion d'actifs.,,Avenel,A few days at home,"Banking, Insurance",21889,2 days ago,https://www.welcometothejungle.com/en/companies/axa/jobs/agent-general-d-assurance-f-h-independant-dpt-02-aisne_laon_AXA_kAJZVdZ
Agent Général d'Assurance (F/H) - Indépendant - Dpt 02 Flavy Le Martel,AXA,Leader mondial de l'assurance et de la gestion d'actifs.,,Avenel,A few days at home,"Banking, Insurance",21889,2 days ago,https://www.welcometothejungle.com/en/companies/axa/jobs/agent-general-d-assurance-f-h-independant-dpt-02-flavy-le-martel_laon_AXA_J5DKyLg
Mandataire d’Assurance (F/H) - Indépendant - Dpt 02 LAON,AXA,Leader mondial de l'assurance et de la gestion d'actifs.,,Avenel,A few days at home,"Banking, Insurance",21889,2 days ago,https://www.welcometothejungle.com/en/companies/axa/jobs/mandataire-d-assurance-f-h-independant-dpt-02-laon_laon_AXA_kZ0zNg2
Mandataire d’Assurance (F/H) - Indépendant - Dpt 02 SOISSONS,AXA,Leader mondial de l'assurance et de la gestion d'actifs.,,Avenel,A few days at home,"Banking, Insurance",21889,2 days ago,https://www.welcometothejungle.com/en/companies/axa/jobs/mandataire-d-assurance-f-h-independant-dpt-02-soissons_laon_AXA_9pe9zJm
Agent Général d'Assurance (F/H) - Indépendant - Dpt 03 Château Thierry,AXA,Leader mondial de l'assurance et de la gestion d'actifs.,,Avenel,A few days at home,"Banking, Insurance",21889,2 days ago,https://www.welcometothejungle.com/en/companies/axa/jobs/agent-general-d-assurance-f-h-independant-dpt-03-chateau-thierry_laon
Agent Général d'Assurance (F/H) - Indépendant - Dpt 02 LAON,AXA,Leader mondial de l'assurance et de la gestion d'actifs.,,Avenel,A few days at home,"Banking, Insurance",21889,2 days ago,https://www.welcometothejungle.com/en/companies/axa/jobs/agent-general-d-assurance-f-h-independant-dpt-02-laon_laon_AXA_j9jRPDr
Mandataire d’Assurance (F/H) - Indépendant - Dpt 02 ST QUENTIN,AXA,Leader mondial de l'assurance et de la gestion d'actifs.,,Avenel,A few days at home,"Banking, Insurance",21889,2 days ago,https://www.welcometothejungle.com/en/companies/axa/jobs/mandataire-d-assurance-f-h-independant-dpt-02-st-quentin_laon
Concrete Batch Plant Superintendent M/F M/F,VINCI Construction,"Construction d'infrastructures, bâtiments et aménagements urbains.",Permanent contract,Norfolk,,VINCI CONSTRUCTION,117000,4 hours ago,https://www.welcometothejungle.com/en/companies/vinci-construction-fr/jobs/concrete-batch-plant-superintendent-m-f-m-f_norfolk
Utility Manager M/F,VINCI Construction,"Construction d'infrastructures, bâtiments et aménagements urbains.",Permanent contract,Norfolk,,VINCI CONSTRUCTION,117000,1 days ago,https://www.welcometothejungle.com/en/companies/vinci-construction-fr/jobs/utility-manager-m-f_norfolk
Senior Accountant,Socomec,Équipements électriques pour la continuité et l'optimisation de l'énergie.,Permanent contract,Suwanee,No remote work,,4400,1 days ago,https://www.welcometothejungle.com/en/companies/socomec/jobs/senior-accountant_suwanee
"Assistant Manager, Palm Beach",Hermès,Objets de luxe artisanaux et créatifs.,Permanent contract,Palm Beach,,"Luxury, Selective Distribution",26494,3 days ago,https://www.welcometothejungle.com/en/companies/hermes/jobs/assistant-manager-palm-beach_palm-beach_HERMS_LOqkL5M
"Senior Regional Asset Protection Manager, Western Region",Hermès,Objets de luxe artisanaux et créatifs.,Permanent contract,Beverly Hills,,"Luxury, Selective Distribution",26494,4 days ago,https://www.welcometothejungle.com/en/companies/hermes/jobs/senior-regional-asset-protection-manager-western-region_beverly-hills_HERMS_Xry8KLp
Senior Accountant,L-Acoustics,Systèmes de sonorisation professionnelle haut de gamme.,Permanent contract,Westlake Village,A few days at home,"Software, Music",1000,4 days ago,https://www.welcometothejungle.com/en/companies/l-acoustics/jobs/senior-accountant_westlake
Casual Auditor,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Los Angeles,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,2 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/volvo-auditor_los-angeles
Implementation Specialist,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Las Vegas,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,4 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/implementation-specialist_las-vegas_MI_g0YPA57
"GMD Non-Flow Credit Repo Trader, Associate",Crédit Agricole CIB,Banque de financement et d'investissement pour grandes entreprises et institutions.,Permanent contract,New York,,Banque de financement et d'investissement pour grandes entreprises et institutions.,10400,2 days ago,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/gmd-non-flow-credit-repo-trader-associate_new-york
US Analyst - Corporate and Leveraged Finance - Fund Solutions Group North America,Crédit Agricole CIB,Banque de financement et d'investissement pour grandes entreprises et institutions.,,New York,,US Analyst - Corporate and Leveraged Finance - Fund Solutions Group North America,10400,2 days ago,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/us-analyst-corporate-and-leveraged-finance-fund-solutions-group-north-america_new-york
"VP, Enterprise Risk Management and Regulatory Change",Crédit Agricole CIB,Banque de financement et d'investissement pour grandes entreprises et institutions.,Permanent contract,New York,,Banque de financement et d'investissement pour grandes entreprises et institutions.,10400,3 days ago,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/vp-enterprise-risk-management-and-regulatory-change_new-york
Head of Finance,Believe,Développement d'artistes et services musicaux personnalisés.,Permanent contract,Miami,,Head of Finance,2037,4 days ago,https://www.welcometothejungle.com/en/companies/believe-digital/jobs/head-of-finance_miami
eCommerce Operations Intern (2026 Semester 2) - Generation H,Hermès,Objets de luxe artisanaux et créatifs.,Internship,Manhattan,,"Luxury, Selective Distribution",26494,8 days ago,https://www.welcometothejungle.com/en/companies/hermes/jobs/ecommerce-operations-intern-2026-semester-2-generation-h_manhattan
Implementation Specialist,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Southfield,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,5 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/entry-level-openings-for-college-graduates-la-san-francisco-boston-nyc-chicago-and-philadephia_southfield
Analytics Intern,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Internship,Southfield,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,5 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/analytics-intern_southfield_MI_eojoq60
Analytics Intern,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Internship,Southfield,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,5 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/analytics-intern_southfield
2026 Global Markets Division - Summer Intern Program,Crédit Agricole CIB,Banque de financement et d'investissement pour grandes entreprises et institutions.,Internship,New York,,Banque de financement et d'investissement pour grandes entreprises et institutions.,10400,7 days ago,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/2026-global-markets-division-summer-intern-program_new-york
AI Analyst Co-op,Mirakl,Solutions logicielles pour e-commerce et marketplaces.,Permanent contract,Boston,A few days at home,Solutions logicielles pour e-commerce et marketplaces.,750,10 days ago,https://www.welcometothejungle.com/en/companies/mirakl/jobs/ai-analyst-co-op_boston
Hybrid District Manager Parts & Service,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Richmond,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,8 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/hybrid-district-manager-parts-service_richmond
Casual Auditor,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Dallas,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,9 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/volvo-auditor_dallas
AI Healthcare & Life Sciences Solutions Consultant,Dataiku,The Universal AI Platform for managing and building AI initiatives.,Permanent contract,New York,No remote work,AI Healthcare & Life Sciences Solutions Consultant,1000,9 days ago,https://www.welcometothejungle.com/en/companies/dataiku/jobs/ai-healthcare-life-sciences-solutions-consultant_new-york
"Stock Controller, Maison Madison",Hermès,Objets de luxe artisanaux et créatifs.,Permanent contract,New York,,"Luxury, Selective Distribution",26494,13 days ago,https://www.welcometothejungle.com/en/companies/hermes/jobs/stock-controller-maison-madison_new-york_HERMS_WkAgoGz
Warranty Claim Assessor,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Southfield,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,12 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/warranty-claim-assessor_southfield
Compliance Risk Assessment Officer - VP,Crédit Agricole CIB,Banque de financement et d'investissement pour grandes entreprises et institutions.,Permanent contract,New York,,Banque de financement et d'investissement pour grandes entreprises et institutions.,10400,11 days ago,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/compliance-risk-assessment-officer-vp_new-york
US Analyst - Loan Origination Support,Crédit Agricole CIB,Banque de financement et d'investissement pour grandes entreprises et institutions.,,New York,,Banque de financement et d'investissement pour grandes entreprises et institutions.,10400,11 days ago,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/us-analyst-loan-origination-support_new-york_CAC_ldmy5q2
"VP, Regulatory Reporting Analyst",Crédit Agricole CIB,Banque de financement et d'investissement pour grandes entreprises et institutions.,Permanent contract,New York,,Banque de financement et d'investissement pour grandes entreprises et institutions.,10400,11 days ago,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/vp-regulatory-reporting-analyst_new-york
VP Lead Auditor - Financial Controls and Regulatory Reporting,Crédit Agricole CIB,Banque de financement et d'investissement pour grandes entreprises et institutions.,Permanent contract,New York,,Banque de financement et d'investissement pour grandes entreprises et institutions.,10400,11 days ago,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/vp-lead-auditor-financial-controls-and-regulatory-reporting_new-york
"Vice President, Senior ALM Specialist",Crédit Agricole CIB,Banque de financement et d'investissement pour grandes entreprises et institutions.,Permanent contract,New York,,Banque de financement et d'investissement pour grandes entreprises et institutions.,10400,11 days ago,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/vice-president-senior-alm-specialist_new-york
Compliance Data Analytics and Reporting Associate,Crédit Agricole CIB,Banque de financement et d'investissement pour grandes entreprises et institutions.,Permanent contract,New York,,Banque de financement et d'investissement pour grandes entreprises et institutions.,10400,11 days ago,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/compliance-data-analytics-and-reporting-associate_new-york
Regional Service Manager,Socomec,Équipements électriques pour la continuité et l'optimisation de l'énergie.,Permanent contract,Watertown,,,4400,13 days ago,https://www.welcometothejungle.com/en/companies/socomec/jobs/regional-service-manager_watertown
"Assistant Manager, San Diego",Hermès,Objets de luxe artisanaux et créatifs.,Permanent contract,San Diego,,"Luxury, Selective Distribution",26494,17 days ago,https://www.welcometothejungle.com/en/companies/hermes/jobs/assistant-manager-san-diego_san-diego_HERMS_lw4Z1dZ
