Job_Title,Company_Title,Company_Slogan,Job_Type,Location,Work_Location,Industry,Employes_Count,Posted_Ago,Job_Link
Automotive Operations Specialist,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Mahwah,,Automotive Operations Specialist,420,8 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/field-performance-specialist_southfield_MI_orVkWA
Automotive Operations Specialist,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Milwaukee,,Automotive Operations Specialist,420,8 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/automotive-operations-specialist_milwaukee
Ford Connected Services Trainer,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,San Francisco,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,9 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/ford-connected-services-trainer_san-francisco
Mobile Service Field Specialist,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Albany,,Mobile Service Field Specialist,420,12 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/mobile-service-field-specialist_albany_MI_QRZKAQY
Market Tire Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,St Louis,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,12 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/market-tire-coach_st-louis
Warranty Assessor,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Southfield,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,12 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/warranty-assessor_southfield_MI_14qyPNO
Warranty Assessor,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Southfield,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,12 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/warranty-assessor_southfield
Central US Sales Director - Renewables SaaS,SkyVisor,Solutions logicielles pour la maintenance prédictive des infrastructures énergétiques.,Permanent contract,Dallas,A few days at home,Central US Sales Director - Renewables SaaS,20,12 days ago,https://www.welcometothejungle.com/en/companies/skyvisor/jobs/regional-sales-director-midwest-usa-renewables-saas_dallas
Technical Training Instructor,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Irvine,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,16 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/technical-training-instructor_irvine_MI_kAzPz6w
Mobile Service Field Specialist,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Raleigh,,Mobile Service Field Specialist,420,17 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/mobile-service-field-specialist_charlotte_MI_2ZLRD7j
"Project Manager, Learning and Development",MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Irvine,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,17 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/project-manager-learning-and-development_irvine
Survey Party Chief M/F,VINCI Construction,"Construction d'infrastructures, bâtiments et aménagements urbains.",Permanent contract,Norfolk,,VINCI CONSTRUCTION,117000,19 days ago,https://www.welcometothejungle.com/en/companies/vinci-construction-fr/jobs/survey-party-chief-m-f_norfolk
Automotive Technical Advisor/Mechanic,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,San Francisco,,Automotive Technical Advisor/Mechanic,420,26 days ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/automotive-technical-advisor-mechanic_san-francisco_MI_e39Y0k7
Sales Manager- Contracts,Safran Electronics & Defense,"Solutions high-tech pour l'Aéronautique, la Défense et le Spatial.",Permanent contract,Irvine,No remote work,,14000,26 days ago,https://www.welcometothejungle.com/en/companies/safran-electronics-defense-fr/jobs/contract-sales-manager_irvine
Processor,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Southfield,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,,https://www.welcometothejungle.com/en/companies/msx-international/jobs/processor_southfield
Express Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Washington,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,,https://www.welcometothejungle.com/en/companies/msx-international/jobs/express-service-coach_washington
Express Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Cleveland,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,,https://www.welcometothejungle.com/en/companies/msx-international/jobs/express-service-coach_cleveland
Express Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Houston,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,,https://www.welcometothejungle.com/en/companies/msx-international/jobs/express-service-coach_houston
Express Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Phoenix,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,,https://www.welcometothejungle.com/en/companies/msx-international/jobs/express-service-coach_phoenix
Express Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Philadelphia,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,,https://www.welcometothejungle.com/en/companies/msx-international/jobs/express-service-coach_philadelphia
Express Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Denver,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,,https://www.welcometothejungle.com/en/companies/msx-international/jobs/express-service-coach_denver
Express Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Atlanta,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,,https://www.welcometothejungle.com/en/companies/msx-international/jobs/express-service-coach_atlanta
Express Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Dallas,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,,https://www.welcometothejungle.com/en/companies/msx-international/jobs/express-service-coach_dallas
Express Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Tampa,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,,https://www.welcometothejungle.com/en/companies/msx-international/jobs/express-service-coach_tampa
Express Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Austin,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,,https://www.welcometothejungle.com/en/companies/msx-international/jobs/express-service-coach_austin
Express Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Las Vegas,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,,https://www.welcometothejungle.com/en/companies/msx-international/jobs/express-service-coach_las-vegas
Express Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Orlando,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,,https://www.welcometothejungle.com/en/companies/msx-international/jobs/express-service-coach_southfield_MI_mrqwARN
Express Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,,https://www.welcometothejungle.com/en/companies/msx-international/jobs/1_southfield
Express Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Southfield,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,,https://www.welcometothejungle.com/en/companies/msx-international/jobs/express-service-coach_southfield_MI_mxjdgDe
Express Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Southfield,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,,https://www.welcometothejungle.com/en/companies/msx-international/jobs/express-service-coach_southfield_MI_63xWwA9
Express Service Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Los Angeles,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,,https://www.welcometothejungle.com/en/companies/msx-international/jobs/express-service-coach_southfield
Apprentice Technical Trainer,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,,Mahwah,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,,https://www.welcometothejungle.com/en/companies/msx-international/jobs/apprentice-technical-trainer_mahwah
Operations and Payroll manager F/H,VINCI Construction,"Construction d'infrastructures, bâtiments et aménagements urbains.",Permanent contract,Boca Raton,,VINCI CONSTRUCTION,117000,,https://www.welcometothejungle.com/en/companies/vinci-construction-fr/jobs/operations-and-payroll-manager-f-h_boca-raton
Administrative specialist F/H,VINCI Construction,"Construction d'infrastructures, bâtiments et aménagements urbains.",Permanent contract,Boca Raton,,VINCI CONSTRUCTION,117000,,https://www.welcometothejungle.com/en/companies/vinci-construction-fr/jobs/administrative-specialist-f-h_boca-raton
Market Tire Coach,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,New Haven,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,,https://www.welcometothejungle.com/en/companies/msx-international/jobs/market-performance-manager_new-haven
Applications Engineer – Treatment Technologies,SUEZ,Gestion de l'eau et des déchets pour une transition écologique durable.,Permanent contract,,,"Environment / Sustainable Development, SocialTech / GreenTech",40000,2 months ago,https://www.welcometothejungle.com/en/companies/suez/jobs/applications-engineer-treatment-technologies_chicago
Vehicle Buyback Specialist,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Fountain Valley,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,2 months ago,https://www.welcometothejungle.com/en/companies/msx-international/jobs/vehicle-buyback-specialist_fountain-valley
"Procurement Manager, Contract Manufacturing",Prose,"Custom, made-to-order hair and skin products using a tech-driven approach.",Permanent contract,Brooklyn,No remote work,"Artificial Intelligence / Machine Learning, Cosmetics",306,1 days ago,https://www.welcometothejungle.com/en/companies/prose/jobs/procurement-manager-contract-manufacturing_brooklyn
Strategic Account Lead,Equativ,Advertising monetization platform for major websites.,Permanent contract,Los Angeles,A few days at home,,700,3 days ago,https://www.welcometothejungle.com/en/companies/equativ/jobs/strategic-account-lead_los-angeles
Major Account Executive,Quadient,Řešení automatizace pro digitální transformaci a růst firem.,Permanent contract,Detroit,,"Software, IT / Digital",4600,3 days ago,https://www.welcometothejungle.com/en/companies/quadient/jobs/major-account-executive_detroit
Enterprise Sales Leader,Mistral Ai,Modèles d'IA ouverts et accessibles pour l'innovation générative.,Permanent contract,San Francisco,A few days at home,"Artificial Intelligence / Machine Learning, IT / Digital",280,3 days ago,https://www.welcometothejungle.com/en/companies/mistral-ai/jobs/enterprise-sales-leader_san-francisco
Capital Markets IT/Electronic Trading Americas Lead,Crédit Agricole CIB,Banque de financement et d'investissement pour grandes entreprises et institutions.,Permanent contract,New York,,Banque de financement et d'investissement pour grandes entreprises et institutions.,10400,4 days ago,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/capital-markets-it-electronic-trading-americas-lead_new-york
Manager in Marketing Analytics & Data Science - New York,Ekimetrics,Solutions d'IA pour une performance business durable.,Permanent contract,New York,A few days at home,Manager in Marketing Analytics & Data Science - New York,500,5 days ago,https://www.welcometothejungle.com/en/companies/ekimetrics/jobs/manager-in-marketing-analytics-data-science-new-york_new-york
Key Account Manager- OEM Americas,Safran Electronics & Defense,"Solutions high-tech pour l'Aéronautique, la Défense et le Spatial.",Permanent contract,Irvine,No remote work,,14000,5 days ago,https://www.welcometothejungle.com/en/companies/safran-electronics-defense-fr/jobs/key-account-manager-oem-americas_irvine
Project Manager,SAFRAN POWER UNITS,Solutions innovantes de conception et réparation en aéronautique.,Permanent contract,Grand Prairie,No remote work,,780,7 days ago,https://www.welcometothejungle.com/en/companies/safran-power-units/jobs/project-manager_grand-prairie
Sales Director - Atlanta - Logistics & Manufacturing,Gojob,Plateforme de service pour l'emploi avec technologies et IA.,Permanent contract,Atlanta,No remote work,Sales Director - Atlanta - Logistics & Manufacturing,240,9 days ago,https://www.welcometothejungle.com/en/companies/gojob/jobs/sales-director-atlanta-logistics-manufacturing_atlanta
J202602060 Field Service Technician 2,Quadient,Řešení automatizace pro digitální transformaci a růst firem.,Permanent contract,Tampa,,"Software, IT / Digital",4600,12 days ago,https://www.welcometothejungle.com/en/companies/quadient/jobs/j202602060-field-service-technician-2_tampa
Aircraft Subsystems Architect - Engineer,SOGECLAIR,Solutions innovantes pour une mobilité sobre et sûre.,Permanent contract,Wichita,No remote work,"Design & Engineering Office, Mobility",1100,12 days ago,https://www.welcometothejungle.com/en/companies/groupe-sogeclair/jobs/aircraft-subsystems-architect-engineer_wichita
Key Account Manager- US Military & Defense,Safran Electronics & Defense,"Solutions high-tech pour l'Aéronautique, la Défense et le Spatial.",Permanent contract,Irvine,No remote work,,14000,12 days ago,https://www.welcometothejungle.com/en/companies/safran-electronics-defense-fr/jobs/key-account-manager-us-military-defense_irvine
Collateral Management Middle Office,Crédit Agricole CIB,Banque de financement et d'investissement pour grandes entreprises et institutions.,Permanent contract,New York,,Banque de financement et d'investissement pour grandes entreprises et institutions.,10400,11 days ago,https://www.welcometothejungle.com/en/companies/credit-agricole-cib/jobs/collateral-management-middle-office_new-york
"Strategic Customer Success Manager, Northeast",Dataiku,The Universal AI Platform for managing and building AI initiatives.,Permanent contract,New York,No remote work,"Software, Artificial Intelligence / Machine Learning",1000,12 days ago,https://www.welcometothejungle.com/en/companies/dataiku/jobs/strategic-customer-success-manager-northeast_new-york
Account Executive,Quadient,Řešení automatizace pro digitální transformaci a růst firem.,Permanent contract,Milwaukee,,"Software, IT / Digital",4600,15 days ago,https://www.welcometothejungle.com/en/companies/quadient/jobs/account-executive_milwaukee
J202603004 Field Service Technician (Open),Quadient,Řešení automatizace pro digitální transformaci a růst firem.,Permanent contract,Dallas,,"Software, IT / Digital",4600,16 days ago,https://www.welcometothejungle.com/en/companies/quadient/jobs/j202603004-field-service-technician-open_dallas
Entreprise Account Executive,MakiPeople,AI-powered agents that transform HR into a strategic powerhouse.,Permanent contract,New York,No remote work,"Software, SaaS / Cloud Services",50,15 days ago,https://www.welcometothejungle.com/en/companies/maki/jobs/entreprise-account-executive_new-york
Liaison MRB Engineer,SOGECLAIR,Solutions innovantes pour une mobilité sobre et sûre.,Permanent contract,Wichita,No remote work,"Design & Engineering Office, Mobility",1100,16 days ago,https://www.welcometothejungle.com/en/companies/groupe-sogeclair/jobs/liaison-mrb-engineer_wichita
Channel Distribution Manager,Socomec,Équipements électriques pour la continuité et l'optimisation de l'énergie.,Permanent contract,Watertown,,,4400,15 days ago,https://www.welcometothejungle.com/en/companies/socomec/jobs/channel-distribution-manager_watertown
Senior Account Executive – Automotive (North East USA),Diffusely,AI media enhancement for automotive visual production.,Permanent contract,Raleigh,Fully-remote,Senior Account Executive – Automotive (North East USA),200,16 days ago,https://www.welcometothejungle.com/en/companies/diffusely/jobs/senior-sales-executive-automotive-saas-north-east-usa_raleigh
Commercial Manager,Ekimetrics,Solutions d'IA pour une performance business durable.,Permanent contract,New York,A few days at home,"IT / Digital, Strategy",500,16 days ago,https://www.welcometothejungle.com/en/companies/ekimetrics/jobs/sales-manager_new-york_EKIME_qyoQKVg
Customer Success Manager,Socomec,Équipements électriques pour la continuité et l'optimisation de l'énergie.,Permanent contract,Watertown,,,4400,19 days ago,https://www.welcometothejungle.com/en/companies/socomec/jobs/customer-success-manager_watertown
Buyer,Socomec,Équipements électriques pour la continuité et l'optimisation de l'énergie.,Permanent contract,Suwanee,,,4400,19 days ago,https://www.welcometothejungle.com/en/companies/socomec/jobs/buyer_suwanee_SOCOM_8OR1V6m
Account Executive,Quadient,Řešení automatizace pro digitální transformaci a růst firem.,Permanent contract,Denver,,"Software, IT / Digital",4600,22 days ago,https://www.welcometothejungle.com/en/companies/quadient/jobs/account-executive_boise
J202602047 Field Service Technician 2,Quadient,Řešení automatizace pro digitální transformaci a růst firem.,Permanent contract,Washington,,"Software, IT / Digital",4600,23 days ago,https://www.welcometothejungle.com/en/companies/quadient/jobs/j202602047-field-service-technician-2_washington
Sales Manager – Pacific Northwest (People Leader Role),Quadient,Řešení automatizace pro digitální transformaci a růst firem.,Permanent contract,Seattle,,"Software, IT / Digital",4600,23 days ago,https://www.welcometothejungle.com/en/companies/quadient/jobs/sales-manager_seattle
Inventory Planning Manager,Hermès,Objets de luxe artisanaux et créatifs.,Permanent contract,Manhattan,,"Luxury, Selective Distribution",26494,24 days ago,https://www.welcometothejungle.com/en/companies/hermes/jobs/inventory-planning-manager_manhattan_HERMS_qGWR5mr
Talent Acquisition - US (Contractor),Mistral Ai,Modèles d'IA ouverts et accessibles pour l'innovation générative.,Permanent contract,Palo Alto,A few days at home,"Artificial Intelligence / Machine Learning, IT / Digital",280,24 days ago,https://www.welcometothejungle.com/en/companies/mistral-ai/jobs/talent-acquisition-us-contractor_palo-alto
"Account Manager, Mid-Market",Botify,AI-powered platform for optimizing organic search and performance marketing.,Permanent contract,New York,A few days at home,AI-powered platform for optimizing organic search and performance marketing.,150,,https://www.welcometothejungle.com/en/companies/botify/jobs/account-manager-mid-market_new-york_BOTIF_j7gpWPJ
Sales Manager - People Leader,Quadient,Řešení automatizace pro digitální transformaci a růst firem.,Permanent contract,Detroit,,"Software, IT / Digital",4600,,https://www.welcometothejungle.com/en/companies/quadient/jobs/sales-manager-people-leader_detroit
Technical Program Lead,Kraken,Éditeur de logiciel pour énergies renouvelables.,Permanent contract,New York,A few days at home,"Environment / Sustainable Development, SaaS / Cloud Services",1828,,https://www.welcometothejungle.com/en/companies/kraken/jobs/program-technical-lead_new-york
"VP, Reasoning Systems",Dataiku,The Universal AI Platform for managing and building AI initiatives.,Permanent contract,New York,No remote work,"Software, Artificial Intelligence / Machine Learning",1000,,https://www.welcometothejungle.com/en/companies/dataiku/jobs/vp-industry-solutions_remote
Senior Account Executive - SaaS Automotive (Pacific USA),Diffusely,AI media enhancement for automotive visual production.,Permanent contract,Los Angeles,Fully-remote,Senior Account Executive - SaaS Automotive (Pacific USA),200,,https://www.welcometothejungle.com/en/companies/diffusely/jobs/senior-account-executive-automotive-pacific-west-usa_raleigh
Senior Account Executive – SaaS Automotive (Midwest USA),Diffusely,AI media enhancement for automotive visual production.,Permanent contract,Columbus,Fully-remote,Senior Account Executive – SaaS Automotive (Midwest USA),200,,https://www.welcometothejungle.com/en/companies/diffusely/jobs/senior-account-executive-automotive-midwest-usa_columbus
Director of Program Management,Safran Electronics & Defense,"Solutions high-tech pour l'Aéronautique, la Défense et le Spatial.",Permanent contract,Irvine,No remote work,,14000,,https://www.welcometothejungle.com/en/companies/safran-electronics-defense-fr/jobs/director-of-program-management_irvine
Enterprise Account Executive - US,Qevlar AI,AI-powered SaaS for operational cybersecurity teams,Permanent contract,New York,Fully-remote,AI-powered SaaS for operational cybersecurity teams,40,,https://www.welcometothejungle.com/en/companies/qevlar-ai/jobs/enterprise-account-executive-us_new-york
IT Support Specialist,Socomec,Équipements électriques pour la continuité et l'optimisation de l'énergie.,Permanent contract,Suwanee,A few days at home,,4400,,https://www.welcometothejungle.com/en/companies/socomec/jobs/it-support-specialist_suwanee
Travel Coordinator,L-Acoustics,Systèmes de sonorisation professionnelle haut de gamme.,Permanent contract,Camarillo,No remote work,Travel Coordinator,1000,,https://www.welcometothejungle.com/en/companies/l-acoustics/jobs/travel-coordinator_westlake
Export Compliance Principal Specialist,Safran Electronics & Defense,"Solutions high-tech pour l'Aéronautique, la Défense et le Spatial.",Permanent contract,Irvine,No remote work,,14000,,https://www.welcometothejungle.com/en/companies/safran-electronics-defense-fr/jobs/export-compliance-principal-specialist_irvine
Export Compliance Principal Specialist,Safran Electronics & Defense,"Solutions high-tech pour l'Aéronautique, la Défense et le Spatial.",Permanent contract,Grand Prairie,No remote work,,14000,,https://www.welcometothejungle.com/en/companies/safran-electronics-defense-fr/jobs/export-compliance-principal-specialist_grand-prairie
BDC Agent,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Southfield,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,,https://www.welcometothejungle.com/en/companies/msx-international/jobs/bdc-agent_southfield
Infrastructure Solution Architect - US,Mistral Ai,Modèles d'IA ouverts et accessibles pour l'innovation générative.,Permanent contract,Palo Alto,Fully-remote,"Artificial Intelligence / Machine Learning, IT / Digital",280,,https://www.welcometothejungle.com/en/companies/mistral-ai/jobs/deployment-strategist-ai-hybrid-cloud-us_palo-alto
SEO Consultant [Opening soon],Botify,AI-powered platform for optimizing organic search and performance marketing.,Permanent contract,New York,No remote work,AI-powered platform for optimizing organic search and performance marketing.,150,,https://www.welcometothejungle.com/en/companies/botify/jobs/seo-consultant-opening-soon_new-york_BOTIF_lwGgKoV
Mid Market Account Executive,Crossbeam,Ecosystem Revenue Platform for GTM teams to unlock opportunities and accelerate deals.,Permanent contract,Philadelphia,No remote work,"Software, SaaS / Cloud Services",128,,https://www.welcometothejungle.com/en/companies/reveal/jobs/mid-market-account-executive_paris
Instructional Designer,MSX International,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,Permanent contract,Warwick,,Services dédiés aux constructeurs automobiles et acteurs de la mobilité.,420,,https://www.welcometothejungle.com/en/companies/msx-international/jobs/instructional-designer_warwick_MI_ANeNKPw
